material_name,material_abbreviation,section,property_name,value,unit,english,test_condition,comments,source_file
Ultra High Molecular Weight Polyethylene,UHMWPE,Product Range,Deniers Range,50-5400,denier,50 to 5400 denier,,Range of available deniers for UHMWPE fibers.,Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Breaking Tenacity,28,g/d,28.0 grams per denier,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Specific Gravity,0.97,Ratio,0.97,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Elongation @ Break,3.6,%,3.6 percent,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Tensile Modulus,850,g/d,850 grams per denier,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Moisture Regain,<0.1,%,Less than 0.1 percent,Equilibrium moisture regain @ 55% RH,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Creep,1.7-5.0,%,1.7 to 5.0 percent,Creep @ 40%-58% ultimate tensile strength,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Shrinkage,Melts,%,Melts under test conditions,Shrinkage in dry air @ 177 C for 30 minutes,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Melt Point,147,°C,147 degrees Celsius,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,Standard Tenacity,Decomposition Temp.,TBD,°C,To Be Determined,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Breaking Tenacity,38,g/d,38.0 grams per denier,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Specific Gravity,0.97,Ratio,0.97,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Elongation @ Break,3.1,%,3.1 percent,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Tensile Modulus,1250,g/d,1250 grams per denier,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Moisture Regain,<0.1,%,Less than 0.1 percent,Equilibrium moisture regain @ 55% RH,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Creep,1.7-5.0,%,1.7 to 5.0 percent,Creep @ 40%-58% ultimate tensile strength,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Shrinkage,Melts,%,Melts under test conditions,Shrinkage in dry air @ 177 C for 30 minutes,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Melt Point,147,°C,147 degrees Celsius,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
Ultra High Molecular Weight Polyethylene,UHMWPE,High Tenacity,Decomposition Temp.,TBD,°C,To Be Determined,,"Data provided for informational purposes only, and does not constitute a specification.",Fibers_material_data.csv
SE2350 single-end Type 30 roving,SE2350,STRAND TENSILES,Strength,2240,MPA,325,Amine/DER 331 Epoxy Resin; ASTM D 2343,Data generated using production material SE 2350 roving-250 Yield (2000 Tex - 16 Micron).,Fibers_material_data.csv
SE2350 single-end Type 30 roving,SE2350,INTERLAMINAR SHEAR STRENGTH NOL RING,Dry Shear Strength,64.4,MPA,9340,Amine/DER 331 Epoxy Resin; ASTM D 2344,Data generated using production material SE 2350 roving-250 Yield (2000 Tex - 16 Micron).,Fibers_material_data.csv
SE2350 single-end Type 30 roving,SE2350,INTERLAMINAR SHEAR STRENGTH NOL RING,Shear Strength Retention,95,%,95%,Amine/DER 331 Epoxy Resin; ASTM D 2344; 72 HR BOIL,Data generated using production material SE 2350 roving-250 Yield (2000 Tex - 16 Micron).,Fibers_material_data.csv
SE2350 single-end Type 30 roving,SE2350,Technical Characteristics,Yield,250,,250,,Applicable for 16 and 22 micron fiber diameter.,Fibers_material_data.csv
SE2350 single-end Type 30 roving,SE2350,Technical Characteristics,Tex,2000,Tex,2000,,Applicable for 16 and 22 micron fiber diameter.,Fibers_material_data.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Physical Properties,Density,1.80,g/cc,0.0650 lb/in³,,Typical fiber property,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Physical Properties,Filler Content,62.0,%,62.0 %,,Fiber Volume of Typical epoxy composite,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Physical Properties,Filament Diameter,6.9,µm,6.9 µm,,,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Mechanical Properties,"Tensile Strength, Yield",2140,MPa,310000 psi,,Typical epoxy composite,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Mechanical Properties,"Tensile Strength, Yield",4470,MPa,648000 psi,,Typical fiber property,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Mechanical Properties,Elongation at Break,1.9,%,1.9 %,,Calculated from tow test data,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Mechanical Properties,Tensile Modulus,136,GPa,19700 ksi,,Typical epoxy composite,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Mechanical Properties,Tensile Modulus,221,GPa,32100 ksi,,Typical fiber property; Chord 6000-1000,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Mechanical Properties,Flexural Strength,1725,MPa,250200 psi,,Typical epoxy composite,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Mechanical Properties,Flexural Modulus,128,GPa,18600 ksi,,Typical epoxy composite,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Mechanical Properties,Shear Strength,124,MPa,18000 psi,,Typical epoxy composite,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Component Elements Properties,"Carbon, C",94,%,94 %,,Fiber,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Approximate Yield,1.25,m/g,,,12K,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Approximate Yield,2.5,m/g,,,6K,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Approximate Yield,5,m/g,,,3K,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Filament Shape,Round,,,,,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Tow Cross-Sectional Area,0.11,mm2,,,3K,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Tow Cross-Sectional Area,0.22,mm2,,,6K,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Tow Cross-Sectional Area,0.44,mm2,,,12K,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Twist,,,,,,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Weight/Length,0.2,g/m,,,3K,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Weight/Length,0.4,g/m,,,6K,Fibers_material_data_.csv
Hexcel® HexTow® AS2C Carbon Fiber,AS2C,Descriptive Properties,Weight/Length,0.8,g/m,,,12K,Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Physical Properties,Specific Gravity,1.24,g/cc,1.24 g/cc,,ASTM D792,Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Physical Properties,Melt Density,1.08,g/cc,0.0390 lb/in³,,ASTM D1238,Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Physical Properties,Viscosity Measurement,3.3,,3.3,@Temperature 230 °C,Relative Viscosity; CD Internal Viscotek Method (English test condition: @Temperature 446 °F),Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Mechanical Properties,Elongation at Break,10 - 70,%,10 - 70 %,,Fiber; ASTM D2256/ASTM D3822,Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Mechanical Properties,Tenacity,0.221 - 0.353,N/tex,2.50 - 4.00 g/denier,,ASTM D2256/ASTM D3822,Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Thermal Properties,Melting Point,145 - 155,°C,293 - 311 °F,,ASTM D3418,Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Thermal Properties,"Glass Transition Temp, Tg",55.0 - 65.0,°C,131 - 149 °F,,ASTM D3417,Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Thermal Properties,Shrinkage,<= 8.0,%,<= 8.0 %,"@Temperature 120 °C, Time 600 sec","Hot Air; ASTM D2102 (English test condition: @Temperature 248 °F, Time 0.167 hour)",Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Processing Properties,Dew Point,-35.0,°C,-31.0 °F,,,Fibers_material_data_.csv
NatureWorks® Ingeo™ 5051X Fiber Grade PLA,5051X,Processing Properties,Drying Air Flow Rate,>= 14.2,l/min,>= 0.500 ft³/min (CFM),,,Fibers_material_data_.csv
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber,,Physical Properties,Density,1.79,g/cc,0.0647 lb/in³,,ISO 10119,Fibers_material_data_.csv
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber,,Physical Properties,Fiber Count,16000,dtex,14400 denier,,ISO 1889,Fibers_material_data_.csv
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber,,Mechanical Properties,Tensile Strength,4900,MPa,711000 psi,,ISO 10618,Fibers_material_data_.csv
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber,,Mechanical Properties,Elongation at Break,2,%,2.0 %,,ISO 10618,Fibers_material_data_.csv
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber,,Mechanical Properties,Tensile Modulus,250,GPa,36300 ksi,,ISO 10618,Fibers_material_data_.csv
SCS-Ultra™ Silicon Carbide Fiber,SCS-Ultra™,Physical Properties,Density,3.08,g/cc,0.111 lb/in³,,,Fibers_material_data_.csv
SCS-Ultra™ Silicon Carbide Fiber,SCS-Ultra™,Physical Properties,Thickness,142,microns,5.59 mil,,Diameter,Fibers_material_data_.csv
SCS-Ultra™ Silicon Carbide Fiber,SCS-Ultra™,Mechanical Properties,"Tensile Strength, Ultimate",5900,MPa,856000 psi,,,Fibers_material_data_.csv
SCS-Ultra™ Silicon Carbide Fiber,SCS-Ultra™,Mechanical Properties,Modulus of Elasticity,415,GPa,60200 ksi,,,Fibers_material_data_.csv
SCS-Ultra™ Silicon Carbide Fiber,SCS-Ultra™,Thermal Properties,"CTE, linear",4.10,µm/m-°C,2.28 µin/in-°F,@Temperature 20.0 °C @Temperature 68.0 °F,,Fibers_material_data_.csv
SCS-Ultra™ Silicon Carbide Fiber,SCS-Ultra™,Descriptive Properties,Cross Section,Round,,,,,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Physical Properties,Bulk Density,0.220,g/cc,0.00795 lb/in³,,,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Physical Properties,Density,1.80,g/cc,0.0650 lb/in³,,Fiber Density,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Physical Properties,Filament Diameter,7.5,µm,7.5 µm,,,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Mechanical Properties,Tensile Strength at Break,3600,MPa,522000 psi,,ASTM D3379-104,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Mechanical Properties,Elongation at Break,1.4-1.8,%,1.4-1.8 %,,ASTM D3379-75,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Mechanical Properties,Modulus of Elasticity,225,GPa,32600 ksi,,ASTM D3379-104,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Electrical Properties,Volume Resistivity,0.0016,ohm-cm,0.0016 ohm-cm,,,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Descriptive Properties,Carbon Content,>95,wt %,,,,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Descriptive Properties,Mean Fiber Length,0.155,mm,,,Milled,Fibers_material_data_.csv
"SGL Carbon Group SIGRAFIL C® C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing",SIGRAFIL C,Descriptive Properties,Sizing Content,1.5 - 6.5,% by weight,,,,Fibers_material_data_.csv
